idx iface acct_tag_hex uid_tag_int cnt_set rx_bytes rx_packets tx_bytes tx_packets rx_tcp_bytes rx_tcp_packets rx_udp_bytes rx_udp_packets rx_other_bytes rx_other_packets tx_tcp_bytes tx_tcp_packets tx_udp_bytes tx_udp_packets tx_other_bytes tx_other_packets
58 wlan0 0x0 10151 0 1308622351 967792 44382530 483801 1308622351 967792 0 0 0 0 44382530 483801 0 0 0 0
59 wlan0 0x0 10151 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
60 wlan0 0x0 10155 0 2883868 3102 1647578 25267 2883868 3102 0 0 0 0 1647578 25267 0 0 0 0
61 wlan0 0x0 10155 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
62 wlan0 0x0 10160 0 3139767 7194 953145 9389 3139767 7194 0 0 0 0 953145 9389 0 0 0 0
63 wlan0 0x0 10160 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
64 wlan0 0x0 10166 0 909645 1290 172054 1425 909645 1290 0 0 0 0 172054 1425 0 0 0 0
65 wlan0 0x0 10166 1 26871077 25900 3856828 22857 26871077 25900 0 0 0 0 3856828 22857 0 0 0 0
66 wlan0 0x0 10193 0 0 0 17280 288 0 0 0 0 0 0 17280 288 0 0 0 0
67 wlan0 0x0 10193 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
68 wlan0 0x0 10200 0 91689 158 22034 187 91689 158 0 0 0 0 22034 187 0 0 0 0
69 wlan0 0x0 10200 1 44794 90 11482 110 44794 90 0 0 0 0 11482 110 0 0 0 0
70 wlan0 0x0 10203 0 0 0 7560 126 0 0 0 0 0 0 7560 126 0 0 0 0
71 wlan0 0x0 10203 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
72 wlan0 0x0 10204 0 461429 726 111768 1294 461429 726 0 0 0 0 111768 1294 0 0 0 0
73 wlan0 0x0 10204 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
74 wlan0 0x0 10208 0 44039562 31582 7829542 129844 44039562 31582 0 0 0 0 7829542 129844 0 0 0 0
75 wlan0 0x0 10208 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
76 wlan0 0x0 10225 0 101709 215 37374 314 101709 215 0 0 0 0 37374 314 0 0 0 0
77 wlan0 0x0 10225 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
78 wlan0 0x0 10270 0 5616679 6614 2638764 38016 5616679 6614 0 0 0 0 2638764 38016 0 0 0 0
79 wlan0 0x0 10270 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
80 wlan0 0x0 10527 0 1060921 2139 406644 3416 1060921 2139 0 0 0 0 406644 3416 0 0 0 0
81 wlan0 0x0 10527 1 31111 76 13645 99 31111 76 0 0 0 0 13645 99 0 0 0 0
